아시아나항공 채용 리뷰(19년 기업분석 / 자소서 면접),5월에 나올줄만 알았던 아시아나항공 채용 캐빈승무원 2차가 오늘 나오고 말았습니다. 저는 코리아승무원학원 K쌤입니다. 올해 채용의... 30%의 인원을 늘렸기때문에 3번의 아시아나항공 채용에서 4번으로 늘린것이 아닌가 하는 합리적인 생각도 해보았습니다.이번에도 댄과 마찬가지로...,,,
부산지상직학원 아시아나항공 합격후기!,부산지상직학원 아시아나항공 합격후기를 써봤어요! 아직 출근하기 전이여서 그런지 실감이 나지는 않는것 같아요. 그래도 가고 싶었던곳중... 그렇게 한국을 오고나서 본격적으로 아시아나항공을 비롯해 다양한 채용건들을 찾아보기 시작했었습니다. 그렇게 저는 4학년 여름방학때부터...,,,
아시아나항공 승무원 비전공자로 합격,"아시아나항공 승무원이 된 수기를 보면서, 부러워만 하고 동경만 했지 제가 이렇게 합격 후기를 쓰게 될 줄은 꿈에도 몰랐어요! 지금까지 뭐 하나 끝까지 제대로 이루어본 적이 없었는데, 목표했던 바를 이루게 되어 정말 기쁘고 얼떨떨하기도 해요. 흔히들 말하는 저스펙으로 아시아나항공...",,,
대한민국 항공사는 어떻게 투톱 체제가 됐나...1988년 아시아나항공의 등장부터...,"투톱 체제였던 대한항공과 아시아나항공 / 출처 동아닷컴 혹시 언제부터 국적 항공사 체제가 투톱이었는지 기억하시는지? 대한항공은 이름부터 국적항공사의 모습이 자연스레 떠오르는데, 그럼 아시아나는 어떻게 국적항공사가 된 것일까. 아시아나항공 역사를 보면, 대한민국 항공산업의...",,,
"♣후쿠오카 가족여행♣ 두 번째 후쿠오카 여행, 첫날 출발부터 삐걱~ ㅋ (아시아나항공...","이번 설 연휴 가족여행 역시, 출발 10개월 전 항공권 검색을 시작했고 9개월 전, 부모님을 편히 모실 생각에 아시아나 항공을 선택했다. ♣후쿠오카 가족여행♣ 새해 여행지 결정, 19년 설연휴 항공권 구입 (아시아나항공 @인터파크투어) 벌써 19년 설연휴 가족여행을 계획중이다. 그간 실전 경험을...",,,
"대한항공·아시아나항공, 위기의 성격 근본적으로 다르다.",사진-대한항공 [조양호 회장 타계] 대한항공 '오너 일가 리스크' vs 아시아나항공 '경영 실패' 국내 대표 양대 국적항공사인 대한항공과 아시아나항공이 지난해를 기점으로 크게 흔들리고 있다. 고 조양호 한진그룹 회장과 박삼구 아시아나항공 회장은 공교롭게도 비슷한 시기에 각각...,,,
인천공항 제1터미널 아시아나항공 프리미엄체크인 &amp; 비니지스라운지 이용기,지난 2월에 대만여행갈때 이용했던 아시아나항공 프리미엄 체크인 서비스와 비지니스라운지 이용기 포스팅해볼께요. 인천공항이 제2터미널이 생기면서 좀더 여유로워진것 같아서 좋았답니다. 아시아나항공은 인천공항 제1터미널에서 탑승하는거죠~ 대한항공이 제2터미널로 옮기면서...,,,
181229-190113 14박 16일 프랑스-이탈리아 ① (인천-파리 아시아나항공...,(벌써부터 힘들다) 자리에 앉아서 네일 사진 찍기~~~ 아시아나 항공 A501 이었던가........ 3-3-3 구조였는데 그나마 기체가 최신이었나.....usb 충전단자도 있고 삼지창 콘센트도 있고!! 왠일! 엔터테인먼트는 그닥 볼게 없었음.. 아마도 극장에서 봤던 작품이 들어 있어서 였던듯 ㅠㅠㅠㅠㅠ 크레이지...,,,
[유나이티드항공 공지] 부산출발 미주 아시아나항공 부산-인천 구간 이용안내,"[유나이티드항공 공지] 부산출발 미주 아시아나항공 부산-인천 구간 이용안내 인천출발 미주구간 유나이티드항공 견적은 카카오톡... 호텔예약, 해외패키지, 전세계비자대행, 유리여행 WWW.TRAVELYURI.COM [유나이티드항공 공지] 부산출발 미주 아시아나항공 부산-인천 구간 이용안내",,,
"대한항공·아시아나항공, 허울 좋은 '일등석' 버리고 실속 쫓는다","대한항공·아시아나항공, 허울 좋은 '일등석' 버리고 실속 좇는다 풀서비스항공사(FSC) 대한항공과 아시아나항공이 돈 안되는 일등석(퍼스트 클래스)을 폐지한다. 가격경쟁력을 앞세운 저비용항공사(LCC)를 찾는 여객이 늘어나면서 이들 FSC 역시 결국 일등석 대신 많은 사람이 이용할 news....",,,
한국과학기술직업전문학교 아시아나 항공 취업자 인터뷰 -1탄,한국과학기술직업전문학교 아시아나 항공 취업자 인터뷰 - 1탄 항공정비사가 궁금하다면 이 영상부터! | 과기전TV(YouTube) 안녕하세요. 믿고 가는 과기전! 국토교통부 지정 항공정비 전문교육기관! KSTC 한국과학기술직업전문학교 입니다. 2018 하반기 아시아나 항공 공채에 항공정비사로 취업에...,,,
"[상표 변리사 김영두] <strong class=""search_keyword"">아시아나 항공 매각 - 아시아나 항공 상표권의 주인이  아시아나가...","아시아나 항공의 매각. 상표문제 간단치 않아 보이는데요? 금호아시아나그룹이 무리한 차입 경영을 하다가 결국 아시아나 항공을 매각한다고 합니다. 출처 : https://www.mk.co.kr/news/business/view/2019/04/229656/ 아시아나 항공은 SK, 한화 등 대기업에서 노리고 있다고 하니, 매수자는 곧 찾을 수...",,,
