&lt;대구승무원과외 포스트크루&gt; 2019 상반기 제주항공 서류합격을 축하합니다!♥,2019 상반기 제주항공 서류합격을 축하합니다-! 안녕하세요! 대구승무원과외 포스트크루 수진쌤입니다-! :) 오늘은 여러분들이 목이 빠져라 기다렸던 제주항공의 서류합격자 발표일이었습니다.ㅎㅎ 다들 결과는 잘 확인하셨나요??^-^ 제주항공은 5~8%정도 밖에 되지 않는 지옥의(?) 서합률을 자랑하는...
제주항공 부기장 채용조건,"왜그런진 모르겠는데, Q400 시절 제주항공을 봐왔고, 소형항공사의 불모지였던 한국에서 한성항공과 LCC 시장을 개척했던 초기주자였고..제주도를 자주가게 되어 제주항공을 수없이 타다보니 이곳에서 일하고 싶다는 다짐을 하게되었다. 아직은 볼일없는 채용조건이지만..저걸 다 이루려면..."
[후쿠오카] 제주항공 타고 김해에서 후쿠오카 다녀온 이야기,제주항공 타고 김해에서 후쿠오카 다녀온 이야기 2018. 3. 17. ~ 18. 지난주 도쿄에 이어 이번주엔 후쿠오카다 이래도 되나 싶지만 뭐 괜찮을거야... (물론 가벼운 건 마음뿐이고 비용은 여전히 무겁지만;;) 김해에서 후쿠오카로 가는 제주항공 첫 비행기의 탑승시간은 무려 새벽 6시 30분 아침 8시가 되기...
[항공사특가]제주항공 부산-삿포로 신규취항,제주항공 부산-삿포로 신규취항 이벤트기간: ~2019.04.30 출발기간: 2019.05.03~2019.10.26 부산-삿포로 신규취항 본문 바로가기 주메뉴 바로가기... 30 목록보기 이전글 치앙마이&amp;비엔티안 살아보기 다음글 제주항공 고객만을 위한 제주 숙박 예약 특별 혜택! 회사소개 투자정보 채용안내...
제주항공(7C2107) 후기 인천에서 홍콩까지 슝 날아볼까?,미리 제주항공을 예약해서 나름 저렴하다고해야하나 출발 시간과 도착 시간 대비 저렴한 가격에 다녀올 수 있었다 왕복 약 28만원 정도?!?! (수화물 포함 가격!) 제주항공 타러 가는 길에 찍어본 ㅋㅋㅋ 쩍벌샷 제주항공은 첨은 아니고 예전에도 타 본적이 있는거 같음 머나먼 내 기억에...
제주항공은 제주도만 다녀라,"우리 비행기는 제주항공. 티켓팅할 때 4시간 지연이라더니 출국장 들어가서 기다리다 보니 1시간 추가. 무려 5시간이나 지연되었다. 공항사정이... 제주항공만 이랬다. 이러면 안내 메시지라도 보내주던지. 모든 책임과 의무는 승객의 몫인가? 과잉 서비스 시대에 익숙해 그런지, 이런 상황이..."
[2018년 홋카이도/1일차] 제주 항공으로 떠나는 일본 여행,새벽 3시반에 일어나서 4시에 출발했는데 제주 항공 카운터는 너무 줄이 길어서 거의 1시간이 걸려서야 티켓팅이 끝났답니다. 저가 항공은 일찍... 날씨 참 좋다~ 비행기 타자마자 애들은 싸웠지만ㅠㅠ 제주 항공은 국제선도 기내식이 없다하네요. 9시 이전이면 국내선도 모닝빵은 주던데 너무...
[제주항공] 인천-마카오/마카오-인천,"이번에 마카오로 휴가 갈 때 이용하게 된 제주항공. 제주 한라봉 색깔이 상징인 듯하다. 비행기 안에도 싱그러운 오렌지 색으로 가득. 제주항공의 코드는 7C. 이번에 이용한 서울발 마카오행 편명은 7C2001. 돌아오는 편은 7C2002. 출국은 홀수, 입국은 짝수다. 크지 않은 비행기로 좌석 간 간격이 꽤..."
제주도실내관광지 제주항공우주박물관 알차네요,제주항공우주박물관인데요. 아시아 최대규모의 항공박물관으로 여러가지 볼거리와 체험할 것들이 많아서 아이들과 함께 가볼만하고... 제주항공우주박물관은 특히 체험코스가 많아서 일반 박물관보다 훨씬 재밌는것 같아요. 관람객들이 재방문도 많이 한다는데 이유를 알 수 있을것 같아요. 특히...
대구-도쿄·가고시마·마카오 노선 제주항공 신규 취항,"&lt;title&gt;New Template&lt;/title&gt;&lt;meta name=""GENERATOR"" content=""Rich Editor v1.0"" /&gt; 저비용항공사(LCC)인 제주항공은 연내에 대구국제공항 기점의 아시아·태평양권 국제선 신규 노선 3개를 취항한다고 15일 밝혔다. 제주항공은 오는 28일 대구~일본 도쿄(나리타) 노선에 주 7회(매일) 취항하고, 오는 30일 대구..."
제주항공 포인트 사용하기 :: 소멸 포인트 SPC 제휴 사용,제주항공 포인트 사용하기 :: 소멸 포인트 SPC 제휴 사용 올해가 되니 자꾸 월마다 소멸 포인트 안내가 문자로 온다. 그 중 하나가 바로 제주항공 포인트. 이미 한 몇천 포인트를 아무 생각없이 작년에 날린 나.. 이번 2월28일까지 또 7천 포인트가 소멸된다고 문자가 온것이 아니겠나!! 한때...
